,run,epoch,loss,accuracy,epoch duration,run duration,lr,batch_size,shuffle
0,1,1,1.0632650127013525,0.6004333333333334,3.821502923965454,3.8660459518432617,0.01,1000,True
1,1,2,0.5477063645919164,0.7855666666666666,3.814700126647949,7.687879800796509,0.01,1000,True
2,1,3,0.45201735546191535,0.8329166666666666,4.20063591003418,11.892712831497192,0.01,1000,True
3,1,4,0.3917289142807325,0.8576166666666667,3.8697309494018555,15.766729831695557,0.01,1000,True
4,1,5,0.3562290703256925,0.8703666666666666,4.121086835861206,19.891979932785034,0.01,1000,True
5,1,6,0.32935225317875544,0.8802333333333333,3.9025020599365234,23.798914909362793,0.01,1000,True
6,1,7,0.31835912466049193,0.8842833333333333,3.803131103515625,27.606359004974365,0.01,1000,True
7,1,8,0.3063845708966255,0.88925,4.824916124343872,32.435768842697144,0.01,1000,True
8,1,9,0.2847583902378877,0.89765,3.8618128299713135,36.302281856536865,0.01,1000,True
9,1,10,0.2738609708845615,0.9005166666666666,3.740996837615967,40.0477409362793,0.01,1000,True
10,1,11,0.26503712857762973,0.9033166666666667,4.020347833633423,44.072632789611816,0.01,1000,True
11,1,12,0.2606600729127725,0.9048,3.9086108207702637,47.98604083061218,0.01,1000,True
12,1,13,0.2623290874063969,0.90295,4.079885005950928,52.070738792419434,0.01,1000,True
13,1,14,0.2563086852431297,0.9062333333333333,3.918543815612793,55.99494194984436,0.01,1000,True
14,1,15,0.2479727844397227,0.908,3.938838005065918,59.939751863479614,0.01,1000,True
15,1,16,0.24030842383702597,0.9112166666666667,3.838190793991089,63.78300380706787,0.01,1000,True
16,1,17,0.23546460544069608,0.9132,3.778578996658325,67.56651377677917,0.01,1000,True
17,1,18,0.23049942428867023,0.9145166666666666,3.7613778114318848,71.33283686637878,0.01,1000,True
18,1,19,0.2238617293536663,0.9173166666666667,3.7363879680633545,75.07424092292786,0.01,1000,True
19,1,20,0.22763474186261495,0.9145166666666666,3.7553679943084717,78.8347179889679,0.01,1000,True
20,1,21,0.2260853312909603,0.91545,3.731036901473999,82.57089471817017,0.01,1000,True
21,1,22,0.21752078533172609,0.9194333333333333,3.9087979793548584,86.48490810394287,0.01,1000,True
22,1,23,0.22029399474461872,0.9187,3.9657251834869385,90.45608901977539,0.01,1000,True
23,1,24,0.22785264203945796,0.9141666666666667,4.330435037612915,94.79319286346436,0.01,1000,True
24,1,25,0.22576901987195014,0.9156166666666666,3.983557939529419,98.78268480300903,0.01,1000,True
25,1,26,0.22075115516781807,0.91765,3.8423218727111816,102.63050079345703,0.01,1000,True
26,1,27,0.21962404772639274,0.91795,3.9015159606933594,106.53764081001282,0.01,1000,True
27,1,28,0.210545314848423,0.9209166666666667,3.91477108001709,110.45822095870972,0.01,1000,True
28,1,29,0.20100120479861897,0.9252666666666667,4.1159679889678955,114.58103799819946,0.01,1000,True
29,1,30,0.20353240246574084,0.9231333333333334,4.018558025360107,118.60566973686218,0.01,1000,True
30,1,31,0.20234019060929617,0.9244333333333333,3.807116746902466,122.41859674453735,0.01,1000,True
31,1,32,0.20663009410103161,0.9223333333333333,3.767202138900757,126.19240093231201,0.01,1000,True
32,1,33,0.20664431378245354,0.9216833333333333,3.844754219055176,130.04312801361084,0.01,1000,True
33,1,34,0.20182523975769678,0.9246666666666666,3.8623151779174805,133.91186094284058,0.01,1000,True
34,1,35,0.18700228879849115,0.92965,3.767082929611206,137.6851499080658,0.01,1000,True
35,1,36,0.18420634170373282,0.93125,4.760185956954956,142.45143389701843,0.01,1000,True
36,1,37,0.1816342110435168,0.9315,3.9489850997924805,146.40688371658325,0.01,1000,True
37,1,38,0.18307503561178842,0.9307,3.880497932434082,150.29363989830017,0.01,1000,True
38,1,39,0.18263877779245377,0.9305166666666667,4.163377285003662,154.46574902534485,0.01,1000,True
39,1,40,0.17790375153223673,0.9329666666666667,3.8190252780914307,158.29136300086975,0.01,1000,True
40,1,41,0.1828155130147934,0.93115,3.8855159282684326,162.18324780464172,0.01,1000,True
41,1,42,0.18106246069073678,0.9318333333333333,3.8387911319732666,166.02932596206665,0.01,1000,True
42,1,43,0.1785649413863818,0.9326833333333333,3.757943630218506,169.79383873939514,0.01,1000,True
43,1,44,0.18176070948441822,0.9307666666666666,3.7561421394348145,173.55677700042725,0.01,1000,True
44,1,45,0.17672683335840703,0.9329833333333334,3.7582271099090576,177.32170701026917,0.01,1000,True
45,1,46,0.17643744895855587,0.9330333333333334,3.7373430728912354,181.06579494476318,0.01,1000,True
46,1,47,0.17892644243935743,0.9326833333333333,3.768855094909668,184.84154796600342,0.01,1000,True
47,1,48,0.1772272328535716,0.93345,3.724385976791382,188.5727789402008,0.01,1000,True
48,1,49,0.17462808676064015,0.9333333333333333,3.7791237831115723,192.358788728714,0.01,1000,True
49,1,50,0.17392971242467561,0.9346833333333333,3.7600550651550293,196.12592005729675,0.01,1000,True
50,1,51,0.17722386717796326,0.9333333333333333,3.7707700729370117,199.90372395515442,0.01,1000,True
51,1,52,0.17848154430588087,0.9328,3.797712802886963,203.70859599113464,0.01,1000,True
52,1,53,0.1822591905792554,0.9306166666666666,3.744253158569336,207.45997095108032,0.01,1000,True
53,1,54,0.17071664929389954,0.9351333333333334,3.8769779205322266,211.34416484832764,0.01,1000,True
54,1,55,0.17018670327961444,0.93575,3.776193141937256,215.12781286239624,0.01,1000,True
55,1,56,0.17049475001792114,0.9347666666666666,3.7272891998291016,218.86242508888245,0.01,1000,True
56,1,57,0.16857656091451645,0.9362833333333334,3.876194953918457,222.7459897994995,0.01,1000,True
